row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{1,2,5,6}",,-0.01774004102;-0.461142838;-1.527698636;-0.1620492786;0.6041651368;0.96036309;0.6951206923,6.011433601,5.994958764,6.254576366,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.3600202799;-0.02728060447;-0.5107811689;0.6514788866;-0.1442346424;2.330091238;1.004873037,7.005577087,6.716036681,8.384066322,1
SUBSET_WITNESS,,"{1,3,4,6}",,0.2865579128;-0.2682406604;-0.3896869719;1.636803746;1.06076014;-0.3786783814;0.8808336854,5.810761929,5.770935267,6.802912621,1
SUBSET_WITNESS,,"{1,3,5,6}",,-0.4655442238;0.7657976151;-1.012825489;-0.1712132394;0.7835279107;1.026368141;0.4312379956,4.946998119,4.643476799,5.43384492,1
SUBSET_WITNESS,,"{1,4,5,6}",,-0.2391158193;-0.1058074459;-0.326084435;-0.9484666586;1.097102761;1.151285648;1.196175337,7.697820663,7.674689826,8.143427422,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.2134150714;1.286507368;-1.603189707;0.7246438861;-0.583496213;-0.5191464424;1.487478971,5.755982876,5.861107604,6.356712779,1
SUBSET_WITNESS,,"{2,3,4,6}",,0.5228393674;-0.1301752031;-0.8959205151;0.9974210262;-0.9766740203;-0.02113282308;0.8708930612,5.880984783,4.968838767,6.000523265,1
SUBSET_WITNESS,,"{2,3,5,6}",,-0.1096834242;0.9391430616;-1.053180456;-0.00842509605;0.132195726;0.04899644852;1.030736446,4.026561737,3.971322052,4.341311289,1
SUBSET_WITNESS,,"{2,4,5,6}",,0.3899466991;0.08202956617;-1.460923672;0.466732353;-0.6764478087;-0.6891413331;1.33102107,4.886875153,4.896304773,6.63094566,1
SUBSET_WITNESS,,"{3,4,5,6}",,-0.2017291486;0.5825040936;-0.743003726;0.8932589889;-0.4908303022;-0.4325160384;1.471745968,4.854945183,4.78832797,7.120835775,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,1.061705709;1.093055248;-1.394997835;-0.6532768011;1.587096691;-1.581292987;0.5162035227,9.469854355,9.225807306,10.1963414,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-1.031595349;1.168585062;-1.428295374;-0.3197455108;-0.2807042599;1.721318483;1.043000817,9.63877964,9.45455625,10.1612526,1
SUBSET_WITNESS,,"{0,1,2,3,6}",,0.6344320774;1.349119782;0.06402739882;-0.9768422246;-0.1807700992;0.3820309639;-0.05984602123,4.387234688,3.710688852,10.57375871,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.6384683251;1.120589614;-1.434684515;-2.105846882;-0.08892524242;-1.691215277;0.9952791333,9.055785179,8.807925066,9.417577254,1
SUBSET_WITNESS,,"{0,1,2,4,6}",,0.9663800597;0.8123669624;-0.8411483169;-0.7167126536;-1.078159571;-1.132267356;0.9653778076,6.601569176,6.231220342,6.970435441,1
SUBSET_WITNESS,,"{0,1,2,5,6}",,0.3312524259;0.8671486974;0.7905912399;-1.679294944;-0.6066293716;1.925860047;0.9247265458,8.856483459,8.847134006,9.032593727,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.5582133532;1.037852645;0.0439004451;-0.6709079146;1.415501356;1.451945066;1.074409723,7.117492676,7.031280743,7.775456154,1
SUBSET_WITNESS,,"{0,1,3,4,6}",,0.6813901067;0.7849901915;-0.08756909519;-0.5611380339;0.6694495082;-0.1805923879;1.010926962,5.778968811,5.752847461,7.044388544,1
SUBSET_WITNESS,,"{0,1,3,5,6}",,0.03428971767;0.8015415668;0.02188597806;-0.8534469008;-0.09826302528;1.103716254;0.7422130704,5.344408035,4.64333474,5.827344812,1
SUBSET_WITNESS,,"{0,1,4,5,6}",,0.03748196363;-0.4175785482;-0.4877058566;-0.5100611448;1.02221334;1.480575919;1.328452945,7.971827984,7.859872305,8.365399058,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.02993306518;1.181421757;-1.357714653;-0.5851583481;0.4215783179;-0.3164521754;1.490860939,5.45331955,5.425733747,5.819208451,1
SUBSET_WITNESS,,"{0,2,3,4,6}",,0.3692300022;0.9387423992;-1.131729484;-1.186597705;0.3155395687;-0.4283442795;0.9687262177,5.253542423,5.151682171,5.572380496,1
SUBSET_WITNESS,,"{0,2,3,5,6}",,0.2567560375;0.9335439801;-1.14919579;-0.3060508072;-0.4038107991;-0.2159554064;1.199544311,4.540835857,3.92552424,6.351154202,1
SUBSET_WITNESS,,"{0,2,4,5,6}",,0.5017235279;0.5972003341;-1.401946783;-0.6140776873;0.2033391297;-0.7101070285;1.238704324,5.317182064,5.085105006,5.589389929,1
SUBSET_WITNESS,,"{0,3,4,5,6}",,0.4116782248;1.001117229;-0.9771975875;0.4081806242;-0.3975615501;-0.3107069731;1.486691833,4.909339905,4.672680758,6.150943854,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.7995894551;0.7561110854;-1.866968155;0.9138216376;-0.5926371813;1.99845767;0.8576430678,10.57105732,10.33995495,10.87694275,1
SUBSET_WITNESS,,"{1,2,3,4,6}",,0.3406528234;-0.1070872694;-0.761413455;1.381705284;-0.7934358716;-0.6990885139;0.8616048098,5.854839802,5.582921047,7.480385067,1
SUBSET_WITNESS,,"{1,2,3,5,6}",,-0.3766083121;0.5397363305;-1.024903417;-0.1334155798;-0.01555389632;1.083046556;0.5368134975,4.999906063,4.538937203,6.829061591,1
SUBSET_WITNESS,,"{1,2,4,5,6}",,0.2680415809;0.005425034091;-0.4273420572;0.9105440378;-1.442022562;-1.219467163;1.111483335,5.998537064,5.813304426,7.388139284,1
SUBSET_WITNESS,,"{1,3,4,5,6}",,-0.105058983;-0.1318236589;-0.5718677044;0.5229212642;0.01546427608;0.04911201447;1.181917667,5.876084328,5.589378925,6.80379244,1
SUBSET_WITNESS,,"{2,3,4,5,6}",,0.2509209216;0.567309618;-1.111416936;0.5908500552;-0.4808146954;-0.4763199091;1.159623623,5.199239731,4.527550667,5.350689496,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.3792245984;1.775016904;-1.57394886;-0.5322076678;1.321144342;-1.923843622;0.9514133334,10.87643528,10.58998042,11.27643042,1
SUBSET_WITNESS,,"{0,1,2,3,4,6}",,0.8149647117;0.9943158031;-0.6247689724;-0.444945395;-1.00503993;-1.020110011;0.8955333829,6.513866425,6.038721067,7.858603366,1
SUBSET_WITNESS,,"{0,1,2,3,5,6}",,-0.108421877;0.701598525;-1.02142489;-0.09644775093;-0.1043373495;0.8693683147;0.5236083865,5.434824467,5.232228607,9.548300953,1
SUBSET_WITNESS,,"{0,1,2,4,5,6}",,0.1247893795;0.7598950863;-0.932664156;-1.047202229;-0.9310706854;-0.9834688306;1.227985978,6.570226669,6.318040458,6.984601829,1
SUBSET_WITNESS,,"{0,1,3,4,5,6}",,0.1442285925;0.4256323576;-0.2189118266;-0.4342025816;0.4933052361;-0.03167781234;1.084157705,6.111450672,5.431419217,7.072566481,1
SUBSET_WITNESS,,"{0,2,3,4,5,6}",,0.2737960219;0.7626767159;-1.1640203;-0.6653159857;0.4405273199;-0.3913359642;1.212594151,5.251228809,4.524935092,8.050557005,1
SUBSET_WITNESS,,"{1,2,3,4,5,6}",,-0.3412992656;0.3589433432;-0.4114313126;-0.1756986231;-0.2218709588;-0.2847993672;1.045399547,6.622400284,6.514707134,6.894159035,1
SUBSET_WITNESS,,"{0,1,2,3,4,5,6}",,0.2735716403;0.5069254041;-0.5960354805;-0.5142830014;0.508929193;-0.1948570311;1.06119287,5.992975712,,,1
